utla,year,ltbi_active,ltbi_tests_per_1000
E06000001,2011,0,0.0
E06000001,2012,0,0.0
E06000001,2013,0,0.0
E06000001,2014,0,0.0
E06000001,2015,0,0.0
E06000001,2016,0,0.0
E06000001,2017,0,0.0
E06000001,2018,0,0.0
E06000001,2019,0,0.0
E06000001,2020,0,0.0
E06000001,2021,0,0.0
E06000001,2022,0,0.0
E06000001,2023,0,0.0
E06000001,2024,0,0.0
E06000001,2025,0,0.0
E06000002,2011,0,0.0
E06000002,2012,0,0.0
E06000002,2013,0,0.0
E06000002,2014,0,0.0
E06000002,2015,0,0.0
E06000002,2016,0,0.0
E06000002,2017,0,0.0
E06000002,2018,0,0.0
E06000002,2019,0,0.0
E06000002,2020,0,0.0
E06000002,2021,0,0.0
E06000002,2022,0,0.0
E06000002,2023,0,0.0
E06000002,2024,0,0.0
E06000002,2025,0,0.0
E06000003,2011,0,0.0
E06000003,2012,0,0.0
E06000003,2013,0,0.0
E06000003,2014,0,0.0
E06000003,2015,0,0.0
E06000003,2016,0,0.0
E06000003,2017,0,0.0
E06000003,2018,0,0.0
E06000003,2019,0,0.0
E06000003,2020,0,0.0
E06000003,2021,0,0.0
E06000003,2022,0,0.0
E06000003,2023,0,0.0
E06000003,2024,0,0.0
E06000003,2025,0,0.0
E06000004,2011,0,0.0
E06000004,2012,0,0.0
E06000004,2013,0,0.0
E06000004,2014,0,0.0
E06000004,2015,0,0.0
E06000004,2016,0,0.0
E06000004,2017,0,0.0
E06000004,2018,0,0.0
E06000004,2019,0,0.0
E06000004,2020,0,0.0
E06000004,2021,0,0.0
E06000004,2022,0,0.0
E06000004,2023,0,0.0
E06000004,2024,0,0.0
E06000004,2025,0,0.0
E06000005,2011,0,0.0
E06000005,2012,0,0.0
E06000005,2013,0,0.0
E06000005,2014,0,0.0
E06000005,2015,0,0.0
E06000005,2016,0,0.0
E06000005,2017,0,0.0
E06000005,2018,0,0.0
E06000005,2019,0,0.0
E06000005,2020,0,0.0
E06000005,2021,0,0.0
E06000005,2022,0,0.0
E06000005,2023,0,0.0
E06000005,2024,0,0.0
E06000005,2025,0,0.0
E06000006,2011,0,0.0
E06000006,2012,0,0.0
E06000006,2013,0,0.0
E06000006,2014,0,0.0
E06000006,2015,0,0.0
E06000006,2016,0,0.0
E06000006,2017,0,0.0
E06000006,2018,0,0.0
E06000006,2019,0,0.0
E06000006,2020,0,0.0
E06000006,2021,0,0.0
E06000006,2022,0,0.0
E06000006,2023,0,0.0
E06000006,2024,0,0.0
E06000006,2025,0,0.0
E06000007,2011,0,0.0
E06000007,2012,0,0.0
E06000007,2013,0,0.0
E06000007,2014,0,0.0
